N/200    Si    Sim1
82        1      2
78        2      3
84        3      4
80        4      5
76        5      6
82        6      7
79        7      8
86        8      9
76        9      10
81        10      11
74        11      12
83        12      13
75        13      14
81        14      15
84        15      16
81        16      17
80        17      18
73        18      19
79        19      20
85        20      21
81        21      22
85        22      23
78        23      24
78        24      25
78        25      26
84        26      27
79        27      28
79        28      29
83        29      30
83        30      31
79        31      32
76        32      33
85        33      34
81        34      35
81        35      36
84        36      37
80        37      38
89        38      39
86        39      40
81        40      41
82        41      42
80        42      43
83        43      44
76        44      45
78        45      46
75        46      47
80        47      48
73        48      49
79        49      50
84        50      51
86        51      52
80        52      53
76        53      54
88        54      55
81        55      56
81        56      57
75        57      58
84        58      59
83        59      60
77        60      61
83        61      62
83        62      63
83        63      64
89        64      65
85        65      66
