retweetContacts,commentContacts,quoteContacts,otherContacts,sumContacts
4569,17,1,0,4587
1,0,0,0,1
150,184,4,0,338
8,0,0,0,8
1,2,1,0,4
4,5,0,0,9
9,0,0,0,9
1,0,0,0,1
11,0,0,0,11
1,0,0,0,1
4127,197,33,0,4357
3,0,0,0,3
3855,0,0,0,3855
1,0,0,0,1
22,0,0,0,22
2,0,0,0,2
423,7,13,0,443
4,0,0,0,4
3150,0,0,0,3150
1,0,0,0,1
12,8,2,0,22
1,0,0,0,1
797,3,3,0,803
1,0,0,0,1
3217,22,10,0,3249
1,0,0,0,1
723,28,18,0,769
3,0,0,0,3
36,0,0,0,36
1,0,0,0,1
4963,29,7,0,4999
1,0,0,0,1
32,4,1,0,37
1,0,0,0,1
448,28,2,0,478
1,0,0,0,1
1,1,0,0,2
275,20,4,0,299
1170,74,18,0,1262
5,0,0,0,5
1990,24,0,0,2014
2,0,0,0,2
592,0,0,0,592
1,0,0,0,1
643,0,0,0,643
2,0,0,0,2
1,0,0,0,1
9,3,0,0,12
1,0,0,0,1
42,2,0,0,44
3,0,0,0,3
104,0,0,0,104
1,0,0,0,1
11062,57,16,0,11135
1,0,0,0,1
25,0,0,0,25
1,0,0,0,1
100,0,0,0,100
1,0,0,0,1
32,1,1,0,34
1,0,0,0,1
22,0,0,0,22
1,0,0,0,1
108,0,1,0,109
1,0,0,0,1
1649,2,1,0,1652
2,0,0,0,2
3,0,0,0,3
1370,142,26,0,1538
9,0,0,0,9
123,52,2,0,177
4,0,0,0,4
1,0,0,0,1
217,3,0,0,220
4,0,0,0,4
1987,3,0,0,1990
1,0,0,0,1
872,12,11,0,895
2,1,0,0,3
9,0,0,0,9
1,0,0,0,1
5511,29,7,0,5547
1,0,0,0,1
18,6,1,0,25
6,1,0,0,7
1,0,0,0,1
2029,70,20,0,2119
1,0,0,0,1
510,1,0,0,511
4,2,0,0,6
126,8,0,0,134
2,0,0,0,2
479,7,2,0,488
3,8,0,0,11
91,0,0,0,91
1,0,0,0,1
680,1,2,0,683
4,0,0,0,4
2603,37,13,0,2653
4,0,0,0,4
429,4,0,0,433
54,0,0,0,54
2,0,0,0,2
182,4,1,0,187
5,0,0,0,5
275,17,1,0,293
117,12,2,0,131
2,0,0,0,2
463,25,6,0,494
2,0,0,0,2
219,11,0,0,230
1,0,0,0,1
2186,6,0,0,2192
1,0,0,0,1
7,9,1,0,17
1,0,0,0,1
4581,267,25,0,4873
7,0,0,0,7
2,0,0,0,2
75,2,0,0,77
4,0,0,0,4
34,24,13,0,71
14,5,2,0,21
271,5,0,0,276
1,0,0,0,1
1,1,0,0,2
1,0,0,0,1
249,23,5,0,277
2,0,0,0,2
37,3,0,0,40
1,0,0,0,1
1,0,0,0,1
2274,108,1,0,2383
1,26,0,0,27
20,0,0,0,20
34,0,0,0,34
1,0,0,0,1
2612,1,1,0,2614
2,0,0,0,2
2,56,0,0,58
1,0,0,0,1
1,0,0,0,1
41,1,0,0,42
1,0,0,0,1
106,29,6,0,141
5,0,0,0,5
2,0,0,0,2
5,1,0,0,6
2,0,0,0,2
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
1467,61,7,0,1535
1,0,0,0,1
916,4,1,0,921
1,0,0,0,1
228,1,0,0,229
3,3,0,0,6
12268,39,23,0,12330
1,0,0,0,1
187,1,2,0,190
2,0,0,0,2
22,2,0,0,24
3,0,0,0,3
90,2,0,0,92
1,0,0,0,1
844,290,81,0,1215
1,0,0,0,1
8,0,0,0,8
155,12,1,0,168
1,0,0,0,1
477,4,1,0,482
4,0,0,0,4
1,0,0,0,1
993,28,10,0,1031
1,0,0,0,1
427,19,1,0,447
1,0,0,0,1
55,20,10,0,85
4,0,0,0,4
553,0,0,0,553
2,0,0,0,2
71,3,1,0,75
4,0,0,0,4
31,9,0,0,40
2,0,0,0,2
844,31,10,0,885
1,0,0,0,1
142,15,4,0,161
1,0,0,0,1
104,7,2,0,113
11,0,0,0,11
667,4,0,0,671
2,0,0,0,2
624,0,0,0,624
1,0,0,0,1
