N/100    Si    Sim1
45        1      2
47        2      3
49        3      4
45        4      5
41        5      6
45        6      7
45        7      8
51        8      9
42        9      10
46        10      11
45        11      12
46        12      13
43        13      14
44        14      15
48        15      16
46        16      17
46        17      18
41        18      19
43        19      20
46        20      21
48        21      22
47        22      23
45        23      24
42        24      25
45        25      26
51        26      27
46        27      28
45        28      29
48        29      30
52        30      31
48        31      32
45        32      33
50        33      34
49        34      35
46        35      36
51        36      37
48        37      38
52        38      39
51        39      40
48        40      41
52        41      42
47        42      43
48        43      44
48        44      45
50        45      46
47        46      47
44        47      48
44        48      49
48        49      50
51        50      51
57        51      52
50        52      53
43        53      54
55        54      55
49        55      56
50        56      57
46        57      58
50        58      59
52        59      60
45        60      61
50        61      62
52        62      63
52        63      64
52        64      65
50        65      66
