Slice num,Cluster idx,Cluster size
1,94,10473
2,96,10441
3,100,10539
4,98,10475
5,101,10514
6,94,10501
7,102,10521
8,98,10533
9,100,10455
10,92,10531
11,102,10437
12,96,10457
13,97,10462
14,99,10473
15,100,10511
16,97,10420
17,97,10520
18,91,10548
19,100,10555
20,103,10584
21,96,10567
22,97,10501
23,92,10555
24,100,10626
25,99,10601
26,99,10559
27,89,10586
28,97,10645
29,86,10623
30,98,10590
31,93,10645
32,90,10543
33,98,10582
34,91,10601
35,97,10514
36,95,10593
37,96,10611
38,96,10558
39,95,10571
40,96,10522
41,98,10567
42,97,10537
43,92,10591
44,37,10685
45,37,10622
46,96,10700
47,93,10596
48,93,10579
49,37,10605
50,92,10592
51,91,10599
52,39,10617
53,89,10594
54,39,10569
55,91,10629
56,94,10518
57,90,9898
58,91,9425
59,542,7989
60,200,4520
61,202,4525
62,202,4510
63,195,4545
64,197,4510
65,197,4505
