Slice i -> i+1      Cluster ID i,i+1      Cluster size i,i+1      Intersect
1->2                     94,96               10473,10441       0.9160698940131767
2->3                     96,100               10441,10539       0.9236663154870223
3->4                     100,98               10539,10475       0.9161210741057026
4->5                     98,101               10475,10514       0.9178997613365155
5->6                     101,94               10514,10501       0.9183945215902606
6->7                     94,102               10501,10521       0.9174364346252738
7->8                     102,98               10521,10533       0.9196844406425245
8->9                     98,100               10533,10455       0.9133200417734738
9->10                     100,92               10455,10531       0.9243424198947872
10->11                     92,102               10531,10437       0.9132086221631374
11->12                     102,96               10437,10457       0.9238286864041391
12->13                     96,97               10457,10462       0.9182365879315291
13->14                     97,99               10462,10473       0.9188491684190403
14->15                     99,100               10473,10511       0.9206531079919794
15->16                     100,97               10511,10420       0.9159927694795928
16->17                     97,97               10420,10520       0.9269673704414587
17->18                     97,91               10520,10548       0.9226235741444867
18->19                     91,100               10548,10555       0.9221653394008342
19->20                     100,103               10555,10584       0.9196589294173377
20->21                     103,96               10584,10567       0.918745275888133
21->22                     96,97               10567,10501       0.9177628465978991
22->23                     97,92               10501,10555       0.9234358632511189
23->24                     92,100               10555,10626       0.9210800568450971
24->25                     100,99               10626,10601       0.9158667419536984
25->26                     99,99               10601,10559       0.9187812470521649
26->27                     99,89               10559,10586       0.921015247656028
27->28                     89,97               10586,10645       0.9247118836198753
28->29                     97,86               10645,10623       0.9209018318459371
29->30                     86,98               10623,10590       0.9214911042078509
30->31                     98,93               10590,10645       0.9239848914069877
31->32                     93,90               10645,10543       0.9173320807891029
32->33                     90,98               10543,10582       0.92838850422081
33->34                     98,91               10582,10601       0.9246834246834247
34->35                     91,97               10601,10514       0.9205735307989812
35->36                     97,95               10514,10593       0.9262887578466806
36->37                     95,96               10593,10611       0.9208911545360143
37->38                     96,96               10611,10558       0.9208368674017529
38->39                     96,95               10558,10571       0.923754498958136
39->40                     95,96               10571,10522       0.9198751300728408
40->41                     96,98               10522,10567       0.92805550275613
41->42                     98,97               10567,10537       0.923251632440617
42->43                     97,92               10537,10591       0.9274935940020879
43->44                     92,37               10591,10685       0.9238976489472194
44->45                     37,37               10685,10622       0.9212915301824989
45->46                     37,96               10622,10700       0.9241197514592355
46->47                     96,93               10700,10596       0.9157009345794392
47->48                     93,93               10596,10579       0.9245941864854662
48->49                     93,37               10579,10605       0.92844314207392
49->50                     37,92               10605,10592       0.928052805280528
50->51                     92,91               10592,10599       0.9301359516616314
51->52                     91,39               10599,10617       0.9287668647985658
52->53                     39,89               10617,10594       0.9275689931242347
53->54                     89,39               10594,10569       0.9283556730224656
54->55                     39,91               10569,10629       0.9317816255085628
55->56                     91,94               10629,10518       0.9226644086931979
56->57                     94,90               10518,9898       0.8634721429929645
57->58                     90,91               9898,9425       0.8897757122651041
58->59                     91,542               9425,7989       0.7864190981432361
59->60                     542,114               7989,3962       0.008261359369132557
60->61                     114,118               3962,3959       0.8846542150429076
61->62                     118,120               3959,3904       0.8921444809295277
62->63                     120,114               3904,3900       0.8970286885245902
63->64                     114,117               3900,3912       0.9028205128205128
64->65                     117,114               3912,3848       0.8847137014314929
65->66                     114,114               3848,3856       0.899948024948025
