Slice        Partition num         Num nodes         Num nodes/Total num nodes         Num nodes/(Total num nodes - Num nodes)
 1                 0                33587                    0.105766                    0.118275
 2                 0                33759                    0.106476                    0.119165
 3                 0                33576                    0.106565                    0.119276
 4                 0                33099                    0.105245                    0.117625
 5                 0                33653                    0.107499                    0.120447
 6                 0                32648                    0.104423                    0.116598
 7                 0                31845                    0.101854                    0.113405
 8                 0                32941                    0.105380                    0.117793
 9                 0                33005                    0.106554                    0.119261
10                 0                33022                    0.106783                    0.119548
11                 0                31673                    0.102912                    0.114718
12                 0                32352                    0.105652                    0.118133
13                 0                32736                    0.106964                    0.119775
14                 0                32296                    0.105633                    0.118109
15                 0                31578                    0.103286                    0.115182
16                 0                31608                    0.103902                    0.115949
17                 0                31502                    0.103642                    0.115625
18                 0                32267                    0.106707                    0.119453
19                 0                30562                    0.104822                    0.117096
20                 0                30037                    0.104372                    0.116535
21                 0                31086                    0.108473                    0.121671
22                 0                30827                    0.108390                    0.121566
23                 0                30660                    0.107805                    0.120831
24                 0                30049                    0.106578                    0.119291
25                 0                29693                    0.106630                    0.119357
26                 0                29728                    0.106761                    0.119521
27                 0                30437                    0.110463                    0.124181
28                 0                29578                    0.107355                    0.120266
29                 0                29411                    0.106750                    0.119508
30                 0                28837                    0.104672                    0.116909
31                 0                23100                    0.088909                    0.097586
32                 0                21912                    0.088543                    0.097145
33                 0                21679                    0.087837                    0.096295
34                 0                22928                    0.094001                    0.103754
35                 0                24087                    0.099915                    0.111006
36                 0                21968                    0.092768                    0.102254
37                 0                21393                    0.091497                    0.100711
38                 0                21423                    0.091856                    0.101147
39                 0                21809                    0.093511                    0.103157
40                 0                22307                    0.097248                    0.107724
41                 0                22734                    0.100459                    0.111678
42                 0                21320                    0.094340                    0.104167
43                 0                20451                    0.098128                    0.108805
44                 0                20332                    0.097854                    0.108468
45                 0                20951                    0.102260                    0.113908
46                 0                19982                    0.098088                    0.108756
47                 0                19962                    0.098670                    0.109471
48                 0                17507                    0.094561                    0.104437
49                 0                17290                    0.093739                    0.103434
50                 0                17740                    0.096195                    0.106433
51                 0                16757                    0.092480                    0.101904
52                 0                16292                    0.093905                    0.103637
53                 0                14455                    0.085804                    0.093858
54                 0                15532                    0.092229                    0.101600
55                 0                16687                    0.099115                    0.110020
56                 0                16056                    0.096098                    0.106315
57                 0                15753                    0.094354                    0.104184
58                 0                14062                    0.086692                    0.094921
59                 0                16054                    0.105946                    0.118501
60                 0                12764                    0.094822                    0.104755
61                 0                13010                    0.109519                    0.122989
62                 0                 7753                    0.090071                    0.098986
63                 0                 7002                    0.085886                    0.093955
64                 0                 6555                    0.082021                    0.089349
65                 0                 6732                    0.084405                    0.092186
66                 0                 7129                    0.089400                    0.098177
67                 0                 6588                    0.082644                    0.090090
68                 0                 5543                    0.082131                    0.089480
69                 0                 5875                    0.087054                    0.095355
70                 0                 5848                    0.086663                    0.094886
71                 0                 4492                    0.066577                    0.071325
72                 0                 5863                    0.086900                    0.095171
73                 0                 5205                    0.077149                    0.083598
74                 0                 6053                    0.089726                    0.098570
75                 0                 5820                    0.086278                    0.094425
76                 0                 5711                    0.084670                    0.092502
77                 0                 5226                    0.077483                    0.083991
78                 0                 5937                    0.088042                    0.096541
79                 0                 4936                    0.083580                    0.091203
80                 0                 3925                    0.072116                    0.077721
81                 0                 4055                    0.076230                    0.082521
82                 0                 4007                    0.078553                    0.085250
83                 0                 3812                    0.074767                    0.080809
84                 0                 3812                    0.074932                    0.081001
85                 0                33618                    0.105559                    0.118017
