Slice num         Num partitions
    1                   15239
    2                   15207
    3                   15080
    4                   15042
    5                   14924
    6                   14892
    7                   14886
    8                   14894
    9                   14775
    10                  14767
    11                  14705
    12                  14525
    13                  14530
    14                  14504
    15                  14495
    16                  14368
    17                  14362
    18                  14263
    19                  13902
    20                  13668
    21                  13617
    22                  13503
    23                  13504
    24                  13304
    25                  13167
    26                  13164
    27                  13106
    28                  13109
    29                  13098
    30                  13094
    31                  12756
    32                  12456
    33                  12382
    34                  12311
    35                  12250
    36                  11997
    37                  11832
    38                  11826
    39                  11820
    40                  11724
    41                  11550
    42                  11511
    43                  10818
    44                  10812
    45                  10665
    46                  10532
    47                  10455
    48                  9609
    49                  9601
    50                  9613
    51                  9469
    52                  9136
    53                  8996
    54                  9012
    55                  9015
    56                  8984
    57                  8981
    58                  8789
    59                  8420
    60                  7821
    61                  7213
    62                  5924
    63                  5773
    64                  5713
    65                  5694
    66                  5693
    67                  5696
    68                  4939
    69                  4934
    70                  4934
    71                  4926
    72                  4933
    73                  4931
    74                  4919
    75                  4937
    76                  4935
    77                  4927
    78                  4931
    79                  4368
    80                  4133
    81                  4008
    82                  3859
    83                  3858
    84                  3849
    85                  15300
