SliceNum           Bad Ids
1                    [281998, 281998, 281998, 281998, 281998, 241247, 281998, 241247, 281998, 281998, 281998, 281998]
2                    [281998, 281998, 281998, 281998, 281998, 241247, 281998, 241247, 281998, 281998, 281998, 281998]
3                    [281998, 281998, 281998, 281998, 281998, 241247, 281998, 241247, 281998, 281998, 281998, 281998]
4                    [281998, 281998, 281998, 281998, 281998, 241247, 281998, 241247, 281998, 281998, 281998, 281998]
5                    [281998, 281998, 281998, 281998, 281998, 241247, 281998, 241247, 281998, 281998, 281998, 281998]
6                    [281998, 281998, 281998, 281998, 281998, 241247, 281998, 241247, 281998, 281998, 281998, 281998]
7                    [281998, 281998, 281998, 281998, 281998, 241247, 281998, 241247, 281998, 281998, 281998, 281998]
8                    [281998, 281998, 281998, 281998, 281998, 241247, 281998, 241247, 281998, 281998, 281998, 281998]
9                    [281998, 281998, 281998, 281998, 281998, 241247, 281998, 241247, 281998, 281998, 281998, 281998]
10                    [281998, 281998, 281998, 281998, 281998, 241247, 281998, 241247, 281998, 281998, 281998, 281998]
11                    [281998, 281998, 281998, 281998, 281998, 241247, 281998, 241247, 281998, 281998, 281998, 281998]
12                    [281998, 281998, 281998, 281998, 281998, 241247, 281998, 241247, 281998, 281998, 281998, 281998]
13                    [281998, 281998, 281998, 281998, 281998, 241247, 281998, 241247, 281998, 281998, 281998, 281998]
14                    [281998, 281998, 281998, 281998, 281998, 241247, 281998, 241247, 281998, 281998, 281998, 281998]
15                    [281998, 281998, 281998, 281998, 281998, 241247, 281998, 241247, 281998, 281998, 281998, 281998]
16                    [281998, 281998, 281998, 281998, 281998, 241247, 281998, 241247, 281998, 281998, 281998, 281998]
17                    [281998, 281998, 281998, 281998, 281998, 241247, 281998, 241247, 281998, 281998, 281998, 281998]
18                    [281998, 281998, 281998, 281998, 281998, 241247, 281998, 241247, 281998, 281998, 281998, 281998]
19                    [281998, 281998, 281998, 281998, 281998, 241247, 281998, 241247, 281998, 281998, 281998, 281998]
20                    [281998, 281998, 281998, 281998, 281998, 241247, 281998, 241247, 281998, 281998, 281998, 281998]
21                    [281998, 281998, 281998, 281998, 281998, 241247, 281998, 241247, 281998, 281998, 281998, 281998]
22                    [281998, 281998, 281998, 281998, 281998, 241247, 281998, 241247, 281998, 281998, 281998, 281998]
23                    [281998, 281998, 281998, 281998, 281998, 241247, 281998, 241247, 281998, 281998, 281998, 281998]
24                    [281998, 281998, 281998, 281998, 281998, 241247, 281998, 241247, 281998, 281998, 281998, 281998]
25                    [281998, 281998, 281998, 281998, 281998, 246406, 281998, 281998, 281998, 281998, 246406, 281998]
26                    [281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998]
27                    [281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998]
28                    [281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998]
29                    [281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998]
30                    [281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998]
31                    [281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998]
32                    [281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998]
33                    [281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998]
34                    [281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998]
35                    [281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998]
36                    [281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998]
37                    [281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998]
38                    [281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998]
39                    [281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998]
40                    [281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998]
41                    [281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998]
42                    [281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998]
43                    [281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998, 281998]
44                    []
45                    []
46                    []
47                    []
48                    []
49                    []
50                    []
51                    []
52                    []
53                    []
54                    []
55                    []
56                    []
57                    []
58                    []
59                    []
60                    []
61                    []
62                    []
63                    [241243, 241244, 241245, 241246, 241247, 281998, 281998, 281998, 281998, 281998, 241245, 241244, 241243, 241247, 241246, 281998, 281998, 281998, 281998, 281998]
