Slice        Partition num         Num nodes         Num nodes/Total num nodes         Num nodes/(Total num nodes - Num nodes)
 1                 0                42084                    0.132732                    0.153046
 2                 0                32304                    0.102527                    0.114239
 3                 0                33145                    0.105874                    0.118411
 4                 0                33066                    0.105779                    0.118291
 5                 0                33276                    0.107427                    0.120357
 6                 0                32908                    0.106413                    0.119085
 7                 0                31850                    0.103486                    0.115432
 8                 0                32554                    0.106310                    0.118957
 9                 0                31038                    0.101414                    0.112860
10                 0                32739                    0.107618                    0.120596
11                 0                32447                    0.106749                    0.119507
12                 0                32521                    0.107545                    0.120505
13                 0                31378                    0.107618                    0.120597
14                 0                30156                    0.104784                    0.117048
15                 0                30806                    0.107494                    0.120440
16                 0                30418                    0.106950                    0.119758
17                 0                29152                    0.102501                    0.114207
18                 0                30248                    0.107281                    0.120174
19                 0                29747                    0.106822                    0.119597
20                 0                29758                    0.106867                    0.119654
21                 0                29415                    0.106752                    0.119511
22                 0                29939                    0.108663                    0.121910
23                 0                29640                    0.107580                    0.120548
24                 0                29442                    0.106866                    0.119653
25                 0                23849                    0.091790                    0.101068
26                 0                22112                    0.089350                    0.098116
27                 0                22003                    0.090207                    0.099151
28                 0                21772                    0.090310                    0.099275
29                 0                23037                    0.098526                    0.109294
30                 0                21281                    0.094036                    0.103797
31                 0                20927                    0.100411                    0.111618
32                 0                20352                    0.097949                    0.108585
33                 0                20228                    0.098730                    0.109545
34                 0                20003                    0.098190                    0.108881
35                 0                18611                    0.100523                    0.111757
36                 0                17302                    0.093802                    0.103511
37                 0                17208                    0.093308                    0.102910
38                 0                15870                    0.091471                    0.100681
39                 0                16081                    0.095454                    0.105527
40                 0                16166                    0.095993                    0.106186
41                 0                15332                    0.091065                    0.100189
42                 0                16711                    0.103022                    0.114855
43                 0                14335                    0.094600                    0.104485
44                 0                12391                    0.092050                    0.101382
45                 0                10014                    0.116335                    0.131651
46                 0                 7281                    0.089306                    0.098063
47                 0                 6744                    0.084383                    0.092160
48                 0                 6451                    0.080880                    0.087997
49                 0                 6460                    0.081008                    0.088149
50                 0                 6652                    0.083445                    0.091042
51                 0                 5523                    0.081832                    0.089125
52                 0                 5994                    0.088814                    0.097471
53                 0                 5009                    0.074227                    0.080179
54                 0                 5981                    0.088643                    0.097265
55                 0                 5764                    0.085431                    0.093411
56                 0                 6021                    0.089241                    0.097985
57                 0                 6013                    0.089130                    0.097852
58                 0                 6100                    0.090427                    0.099417
59                 0                 4986                    0.073919                    0.079819
60                 0                 5890                    0.087325                    0.095681
61                 0                 5788                    0.085830                    0.093888
62                 0                 4151                    0.070286                    0.075599
63                 0                32277                    0.101349                    0.112779
