Slice num         Num partitions
    1                   15280
    2                   15076
    3                   14919
    4                   14893
    5                   14773
    6                   14767
    7                   14690
    8                   14535
    9                   14519
    10                  14381
    11                  14356
    12                  14250
    13                  13898
    14                  13668
    15                  13620
    16                  13498
    17                  13505
    18                  13308
    19                  13165
    20                  13158
    21                  13097
    22                  13094
    23                  13097
    24                  13102
    25                  12745
    26                  12451
    27                  12274
    28                  12214
    29                  11856
    30                  11547
    31                  10830
    32                  10821
    33                  10652
    34                  10557
    35                  9614
    36                  9604
    37                  9603
    38                  9124
    39                  9030
    40                  9022
    41                  9002
    42                  8830
    43                  8397
    44                  7812
    45                  5971
    46                  5778
    47                  5713
    48                  5702
    49                  5694
    50                  5699
    51                  4937
    52                  4942
    53                  4923
    54                  4938
    55                  4933
    56                  4931
    57                  4934
    58                  4942
    59                  4923
    60                  4933
    61                  4934
    62                  4364
    63                  15301
