N/100    Si    Sim1
47        1      2
45        2      3
45        3      4
47        4      5
47        5      6
44        6      7
42        7      8
50        8      9
46        9      10
44        10      11
44        11      12
44        12      13
45        13      14
51        14      15
48        15      16
50        16      17
48        17      18
47        18      19
51        19      20
47        20      21
51        21      22
51        22      23
54        23      24
44        24      25
46        25      26
46        26      27
48        27      28
50        28      29
48        29      30
41        30      31
50        31      32
46        32      33
49        33      34
44        34      35
55        35      36
51        36      37
39        37      38
50        38      39
53        39      40
52        40      41
50        41      42
41        42      43
37        43      44
26        44      45
49        45      46
49        46      47
53        47      48
54        48      49
57        49      50
42        50      51
57        51      52
59        52      53
61        53      54
53        54      55
58        55      56
56        56      57
54        57      58
52        58      59
54        59      60
56        60      61
39        61      62
