Slice num,Cluster idx,Cluster size
1,100,10472
2,101,10481
3,95,10534
4,96,10546
5,90,10591
6,100,10585
7,98,10479
8,101,10542
9,96,10546
10,101,10603
11,98,10621
12,91,10603
13,98,10662
14,98,10614
15,94,10564
16,96,10579
17,96,10608
18,90,10550
19,37,10497
20,37,10516
21,39,10623
22,90,10608
23,91,10533
24,234,10532
25,528,7925
26,195,4545
27,198,4532
28,190,4529
29,187,4490
30,549,4481
31,0,4451
32,0,4437
33,0,4451
34,0,4439
35,0,4443
36,0,4471
37,0,4445
38,0,4440
39,0,4431
40,0,4432
41,0,4430
42,0,4407
43,33,4430
44,85,4379
45,107,2992
46,51,2439
47,53,2424
48,50,2423
49,47,2453
50,63,2425
51,64,2439
52,64,2441
53,66,2451
54,68,2439
55,63,2448
56,61,2449
57,66,2452
58,63,2455
59,64,2449
60,62,2447
61,63,2445
