SliceNum           Bad Ids
1                    []
2                    []
3                    []
4                    []
5                    []
6                    []
7                    []
8                    []
9                    []
10                    []
11                    []
12                    []
13                    []
14                    []
15                    []
16                    []
17                    []
18                    []
19                    []
20                    []
21                    []
22                    []
23                    []
24                    []
25                    []
26                    []
27                    []
28                    []
29                    []
30                    []
31                    []
32                    []
33                    []
34                    []
35                    []
36                    []
37                    []
38                    []
39                    []
40                    []
41                    []
42                    []
43                    []
44                    []
45                    []
46                    []
47                    []
48                    []
49                    []
50                    []
51                    []
52                    []
53                    []
54                    []
55                    []
56                    []
57                    []
58                    []
59                    []
60                    []
61                    []
62                    []
63                    []
64                    []
65                    []
66                    [278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517]
67                    [278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517]
68                    [278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517]
69                    [278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517]
70                    [278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517]
71                    [278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517]
72                    [278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517]
73                    [278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517]
74                    [278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517]
75                    [278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517]
76                    [278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517]
77                    [278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517, 278517]
78                    [278517, 278517, 278517, 278517, 278517, 140361, 161042, 261081, 278517, 261081, 161042, 278517, 278517, 140361, 278517, 278517]
79                    [278517, 278517, 278517, 278517, 278517, 140361, 161042, 261081, 278517, 261081, 161042, 278517, 278517, 140361, 278517, 278517]
80                    [278517, 278517, 278517, 278517, 278517, 140361, 161042, 261081, 278517, 261081, 161042, 278517, 278517, 140361, 278517, 278517]
81                    [278517, 278517, 278517, 278517, 278517, 140361, 161042, 192184, 261081, 278517, 261081, 161042, 192184, 278517, 278517, 140361, 278517, 278517]
82                    [278517, 278517, 278517, 278517, 278517, 140361, 161042, 192184, 261081, 278517, 192184, 261081, 161042, 278517, 278517, 140361, 278517, 278517]
83                    [278517, 278517, 278517, 278517, 278517, 140361, 161042, 192184, 261081, 278517, 192184, 261081, 161042, 278517, 278517, 140361, 278517, 278517]
84                    [278517, 278517, 278517, 278517, 278517, 140361, 161042, 192184, 261081, 278517, 192184, 261081, 161042, 278517, 278517, 140361, 278517, 278517]
85                    [278517, 278517, 278517, 278517, 278517, 140361, 161042, 192184, 261081, 278517, 192184, 261081, 161042, 278517, 278517, 140361, 278517, 278517]
86                    [278517, 278517, 278517, 278517, 278517, 140361, 161042, 192184, 261081, 278517, 192184, 261081, 161042, 278517, 278517, 140361, 278517, 278517]
87                    [278517, 278517, 278517, 278517, 278517, 140361, 161042, 192184, 261081, 278517, 192184, 261081, 161042, 278517, 278517, 140361, 278517, 278517]
88                    [278517, 278517, 278517, 278517, 278517, 140361, 161042, 192184, 261081, 278517, 192184, 261081, 161042, 278517, 278517, 140361, 278517, 278517]
89                    [278517, 278517, 278517, 278517, 278517, 140361, 161042, 192184, 261081, 278517, 192184, 261081, 161042, 278517, 278517, 140361, 278517, 278517]
90                    [278517, 278517, 278517, 278517, 278517, 140361, 161042, 192184, 261081, 278517, 192184, 261081, 161042, 278517, 278517, 140361, 278517, 278517]
91                    [278517, 278517, 278517, 278517, 278517, 140361, 161042, 192184, 261081, 278517, 192184, 261081, 161042, 278517, 278517, 140361, 278517, 278517]
92                    [278517, 278517, 278517, 278517, 278517, 140361, 161042, 192184, 261081, 278517, 192184, 261081, 161042, 278517, 278517, 140361, 278517, 278517]
93                    [278517, 278517, 278517, 278517, 278517, 140361, 161042, 192184, 261081, 278517, 192184, 261081, 161042, 278517, 278517, 140361, 278517, 278517]
94                    [278517, 278517, 278517, 278517, 278517, 140361, 161042, 192184, 261081, 278517, 192184, 261081, 161042, 278517, 278517, 140361, 278517, 278517]
95                    [278517, 278517, 278517, 278517, 278517, 140361, 161042, 192184, 261081, 278517, 192184, 261081, 161042, 278517, 278517, 140361, 278517, 278517]
96                    [278517, 278517, 278517, 278517, 278517, 140361, 161042, 192184, 261081, 278517, 192184, 261081, 161042, 278517, 278517, 140361, 278517, 278517]
97                    [278517, 278517, 278517, 278517, 278517, 140361, 161042, 192184, 261081, 278517, 192184, 261081, 161042, 278517, 278517, 140361, 278517, 278517]
98                    [278517, 278517, 278517, 278517, 278517, 140361, 161042, 192184, 261081, 278517, 192184, 261081, 161042, 278517, 278517, 140361, 278517, 278517]
99                    [278517, 278517, 278517, 278517, 278517, 140361, 161042, 192184, 261081, 278517, 192184, 261081, 161042, 278517, 278517, 140361, 278517, 278517]
