       Start date                          End date                 Slice num     Num nodes in slice
2007-01-07-16-43-32-000000        2020-01-30-18-17-12-000000           1               1804
2007-01-07-16-43-32-000000        2020-01-30-18-17-12-000000           2               1932
2007-01-07-16-43-32-000000        2020-01-30-19-47-13-000000           3               2158
2007-01-07-16-43-32-000000        2020-02-02-18-28-02-000000           4               2319
2007-01-07-16-43-32-000000        2020-02-02-18-28-02-000000           5               2544
2007-01-07-16-43-32-000000        2020-02-02-18-28-02-000000           6               2643
2007-01-07-16-43-32-000000        2020-02-02-18-28-02-000000           7               2816
2007-01-07-16-43-32-000000        2020-02-07-04-48-53-000000           8               2919
2007-01-07-16-43-32-000000        2020-02-07-04-48-53-000000           9               2979
2007-01-07-16-43-32-000000        2020-02-08-21-20-58-000000           10               3088
2007-01-07-16-43-32-000000        2020-02-08-21-20-58-000000           11               3241
2007-01-07-16-43-32-000000        2020-02-08-21-20-58-000000           12               3379
2007-01-07-16-43-32-000000        2020-02-12-13-21-48-000000           13               3563
2007-01-07-16-43-32-000000        2020-02-12-20-09-00-000000           14               3747
2007-01-07-16-43-32-000000        2020-02-12-20-09-00-000000           15               3889
2007-01-07-16-43-32-000000        2020-02-14-16-23-18-000000           16               4053
2007-01-07-16-43-32-000000        2020-02-16-03-20-15-000000           17               4579
2007-01-07-16-43-32-000000        2020-02-16-07-10-58-000000           18               4876
2007-01-07-16-43-32-000000        2020-02-17-11-17-15-000000           19               5050
2007-01-07-16-43-32-000000        2020-02-17-11-17-15-000000           20               5188
2007-01-07-16-43-32-000000        2020-02-20-22-00-54-000000           21               5428
2007-01-07-16-43-32-000000        2020-02-20-22-00-54-000000           22               5694
2007-01-07-16-43-32-000000        2020-02-22-00-26-41-000000           23               5796
2007-01-07-16-43-32-000000        2020-02-22-22-28-15-000000           24               6009
2007-01-07-16-43-32-000000        2020-02-24-09-58-10-000000           25               6284
2007-01-07-16-43-32-000000        2020-02-24-09-58-10-000000           26               6675
2006-10-25-06-46-45-000000        2020-02-26-21-38-18-000000           27               7033
2006-10-25-06-46-45-000000        2020-02-26-21-38-18-000000           28               7373
2006-10-25-06-46-45-000000        2020-02-27-03-59-01-000000           29               7972
2006-10-25-06-46-45-000000        2020-02-28-14-04-44-000000           30               8434
2006-10-25-06-46-45-000000        2020-03-01-18-23-17-000000           31               8906
2006-10-25-06-46-45-000000        2020-03-02-19-45-45-000000           32               10095
2006-10-25-06-46-45-000000        2020-03-02-19-45-45-000000           33               11039
2006-10-25-06-46-45-000000        2020-03-02-20-39-13-000000           34               11663
2006-10-25-06-46-45-000000        2020-03-05-08-58-07-000000           35               12151
2006-10-25-06-46-45-000000        2020-03-06-03-01-37-000000           36               12522
2006-10-25-06-46-45-000000        2020-03-06-03-01-37-000000           37               12835
2006-10-25-06-46-45-000000        2020-03-08-21-03-48-000000           38               13265
2006-10-25-06-46-45-000000        2020-03-09-12-30-32-000000           39               14624
2006-10-25-06-46-45-000000        2020-03-10-08-47-37-000000           40               15184
2006-10-25-06-46-45-000000        2020-03-10-22-33-33-000000           41               16156
2006-10-25-06-46-45-000000        2020-03-10-22-33-33-000000           42               16835
2006-10-25-06-46-45-000000        2020-03-13-13-56-06-000000           43               17364
2006-10-25-06-46-45-000000        2020-03-13-18-04-10-000000           44               18281
2006-10-25-06-46-45-000000        2020-03-13-18-04-10-000000           45               18879
2006-10-25-06-46-45-000000        2020-03-16-16-37-44-000000           46               26387
2006-10-25-06-46-45-000000        2020-03-17-13-32-43-000000           47               27886
2006-10-25-06-46-45-000000        2020-03-18-20-33-58-000000           48               28787
2006-10-25-06-46-45-000000        2020-03-19-17-04-19-000000           49               30130
2006-10-25-06-46-45-000000        2020-03-19-17-04-19-000000           50               31598
2006-10-25-06-46-45-000000        2020-03-21-20-40-48-000000           51               33091
2006-10-25-06-46-45-000000        2020-03-22-11-26-27-000000           52               33860
2006-10-25-06-46-45-000000        2020-03-23-16-31-55-000000           53               35095
2006-10-25-06-46-45-000000        2020-03-24-21-17-31-000000           54               36077
2006-10-25-06-46-45-000000        2020-03-25-08-08-57-000000           55               37622
2006-07-16-08-56-52-000000        2020-03-26-17-31-11-000000           56               39461
2006-07-16-08-56-52-000000        2020-03-27-15-15-50-000000           57               41107
2006-07-16-08-56-52-000000        2020-03-28-18-02-59-000000           58               42309
2006-07-16-08-56-52-000000        2020-03-29-16-56-25-000000           59               43843
2006-07-16-08-56-52-000000        2020-03-30-16-31-07-000000           60               47276
2006-07-16-08-56-52-000000        2020-03-31-22-33-55-000000           61               50201
2006-07-16-08-56-52-000000        2020-04-01-15-42-56-000000           62               53671
2006-07-16-08-56-52-000000        2020-04-02-21-47-03-000000           63               57649
2006-07-16-08-56-52-000000        2020-04-03-21-42-51-000000           64               71922
