Slice num         Num partitions
    1                   197
    2                   206
    3                   225
    4                   236
    5                   252
    6                   267
    7                   284
    8                   296
    9                   305
    10                  316
    11                  329
    12                  340
    13                  368
    14                  392
    15                  406
    16                  420
    17                  429
    18                  436
    19                  448
    20                  453
    21                  465
    22                  482
    23                  491
    24                  507
    25                  529
    26                  553
    27                  578
    28                  617
    29                  635
    30                  654
    31                  667
    32                  710
    33                  734
    34                  756
    35                  783
    36                  809
    37                  827
    38                  846
    39                  869
    40                  907
    41                  935
    42                  986
    43                  1030
    44                  1073
    45                  1112
    46                  1315
    47                  1428
    48                  1490
    49                  1555
    50                  1624
    51                  1674
    52                  1720
    53                  1775
    54                  1821
    55                  1865
    56                  1963
    57                  2023
    58                  2117
    59                  2189
    60                  2270
    61                  2395
    62                  2578
    63                  2817
    64                  3259
