Slice num         Num partitions
    1                   197
    2                   206
    3                   224
    4                   237
    5                   252
    6                   267
    7                   284
    8                   296
    9                   305
    10                  316
    11                  330
    12                  341
    13                  367
    14                  391
    15                  404
    16                  417
    17                  427
    18                  433
    19                  447
    20                  450
    21                  465
    22                  482
    23                  489
    24                  506
    25                  527
    26                  552
    27                  578
    28                  616
    29                  634
    30                  652
    31                  668
    32                  708
    33                  733
    34                  758
    35                  783
    36                  806
    37                  827
    38                  848
    39                  870
    40                  908
    41                  933
    42                  984
    43                  1032
    44                  1068
    45                  1103
    46                  1312
    47                  1420
    48                  1474
    49                  1548
    50                  1615
    51                  1666
    52                  1706
    53                  1761
    54                  1816
    55                  1865
    56                  1951
    57                  2013
    58                  2095
    59                  2173
    60                  2267
    61                  2389
    62                  2561
    63                  2791
    64                  3242
