Slice        Partition num         Num nodes         Num nodes/Total num nodes         Num nodes/(Total num nodes - Num nodes)
 1                 0                   25                    0.092937                    0.102459
 2                 0                   33                    0.083756                    0.091413
 3                 0                   74                    0.224924                    0.290196
 4                 0                   87                    0.216958                    0.277070
 5                 0                   24                    0.075710                    0.081911
 6                 0                   37                    0.096354                    0.106628
 7                 0                   22                    0.067073                    0.071895
 8                 0                   23                    0.077966                    0.084559
 9                 0                   22                    0.061281                    0.065282
10                 0                   45                    0.112219                    0.126404
11                 0                   44                    0.108374                    0.121547
12                 0                   34                    0.073593                    0.079439
13                 0                   58                    0.121086                    0.137767
14                 0                   26                    0.058957                    0.062651
15                 0                   41                    0.085062                    0.092971
16                 0                  340                    0.397661                    0.660194
17                 0                  116                    0.179289                    0.218456
18                 0                   30                    0.058708                    0.062370
19                 0                   70                    0.144330                    0.168675
20                 0                   63                    0.095599                    0.105705
21                 0                   63                    0.088608                    0.097222
22                 0                   55                    0.100000                    0.111111
23                 0                   66                    0.094964                    0.104928
24                 0                   51                    0.064313                    0.068733
25                 0                   86                    0.092374                    0.101775
26                 0                   62                    0.064990                    0.069507
27                 0                   93                    0.096573                    0.106897
28                 0                   92                    0.071263                    0.076731
29                 0                   99                    0.079774                    0.086690
30                 0                  132                    0.101538                    0.113014
31                 0                  629                    0.308636                    0.446416
32                 0                  257                    0.138694                    0.161028
33                 0                  174                    0.109848                    0.123404
34                 0                  101                    0.068289                    0.073295
35                 0                   61                    0.043980                    0.046003
36                 0                   75                    0.055228                    0.058457
37                 0                  108                    0.074023                    0.079941
38                 0                  941                    0.389648                    0.638399
39                 0                   98                    0.059902                    0.063719
40                 0                  388                    0.186359                    0.229044
41                 0                  120                    0.067340                    0.072202
42                 0                   83                    0.049701                    0.052300
43                 0                  301                    0.137255                    0.159091
44                 0                  155                    0.086111                    0.094225
45                 0                 1935                    0.219687                    0.281536
46                 0                  399                    0.136085                    0.157521
47                 0                  175                    0.073684                    0.079545
48                 0                  167                    0.057886                    0.061442
49                 0                  369                    0.118956                    0.135016
50                 0                  434                    0.137429                    0.159325
51                 0                  254                    0.104656                    0.116889
52                 0                  184                    0.061456                    0.065480
53                 0                  195                    0.070194                    0.075494
54                 0                  776                    0.217978                    0.278736
55                 0                  744                    0.188689                    0.232573
56                 0                  824                    0.216046                    0.275585
57                 0                  206                    0.064800                    0.069290
58                 0                  395                    0.109237                    0.122633
59                 0                  654                    0.110194                    0.123840
60                 0                  748                    0.139189                    0.161695
61                 0                  787                    0.125358                    0.143325
62                 0                  439                    0.062217                    0.066344
63                 0                 3567                    0.192675                    0.238659
64                 0                 2502                    0.092223                    0.101592
65                 0                 3383                    0.130286                    0.149803
66                 0                 2742                    0.095417                    0.105482
67                 0                 1786                    0.068676                    0.073741
68                 0                 1517                    0.076694                    0.083064
69                 0                  867                    0.062690                    0.066883
70                 0                 1880                    0.151760                    0.178911
71                 0                 2652                    0.197984                    0.246858
72                 0                 1122                    0.114443                    0.129233
73                 0                 1661                    0.155481                    0.184106
74                 0                  644                    0.072092                    0.077693
75                 0                 2580                    0.251217                    0.335501
76                 0                  635                    0.082769                    0.090237
77                 0                 1989                    0.227731                    0.294885
78                 0                 8951                    0.482690                    0.933076
79                 0                 1858                    0.170961                    0.206215
80                 0                 1693                    0.158521                    0.188383
81                 0                  774                    0.093943                    0.103684
82                 0                  750                    0.143843                    0.168011
83                 0                  827                    0.121707                    0.138572
84                 0                  620                    0.117158                    0.132705
85                 0                 1361                    0.234493                    0.306325
86                 0                 3443                    0.483364                    0.935598
87                 0                 1984                    0.355938                    0.552646
88                 0                  515                    0.138404                    0.160636
89                 0                  509                    0.158370                    0.188170
90                 0                  498                    0.180959                    0.220941
91                 0                  472                    0.201022                    0.251599
92                 0                  463                    0.204596                    0.257222
93                 0                 1461                    0.354440                    0.549042
94                 0                  361                    0.139007                    0.161449
95                 0                  447                    0.197875                    0.246689
96                 0                  102                    0.059062                    0.062769
97                 0                  232                    0.092911                    0.102428
98                 0                  163                    0.105365                    0.117775
99                 0                   22                    0.157143                    0.186441
100                 0                24355                    0.091489                    0.100702
