Slice        Partition num         Num nodes         Num nodes/Total num nodes         Num nodes/(Total num nodes - Num nodes)
 1                10                   25                    0.092937                    0.102459
 2                23                   33                    0.083756                    0.091413
 3                 0                   74                    0.224924                    0.290196
 4                 0                   87                    0.216958                    0.277070
 5                15                   24                    0.075710                    0.081911
 6                 2                   37                    0.096354                    0.106628
 7                 2                   22                    0.067073                    0.071895
 8                11                   23                    0.077966                    0.084559
 9                 3                   24                    0.066852                    0.071642
10                 0                   45                    0.112219                    0.126404
11                15                   44                    0.108374                    0.121547
12                11                   34                    0.073593                    0.079439
13                 7                   58                    0.121086                    0.137767
14                10                   26                    0.058957                    0.062651
15                 1                   41                    0.085062                    0.092971
16                 2                  340                    0.397661                    0.660194
17                10                  116                    0.179289                    0.218456
18                 1                   30                    0.058708                    0.062370
19                 0                   74                    0.152577                    0.180049
20                14                   63                    0.095599                    0.105705
21                 1                   63                    0.088608                    0.097222
22                10                   55                    0.100000                    0.111111
23                 4                   66                    0.094964                    0.104928
24                18                   51                    0.064313                    0.068733
25                 3                   86                    0.092374                    0.101775
26                11                   63                    0.066038                    0.070707
27                11                   93                    0.096573                    0.106897
28                27                   92                    0.071263                    0.076731
29                14                   99                    0.079774                    0.086690
30                 5                  137                    0.105385                    0.117799
31                 1                  628                    0.308145                    0.445390
32                23                  257                    0.138694                    0.161028
33                16                  174                    0.109848                    0.123404
34                17                  101                    0.068289                    0.073295
35                 8                   71                    0.051190                    0.053951
36                15                   79                    0.058174                    0.061767
37                33                  108                    0.074023                    0.079941
38                 8                  941                    0.389648                    0.638399
39                17                   98                    0.059902                    0.063719
40                 8                  388                    0.186359                    0.229044
41                 9                  120                    0.067340                    0.072202
42                23                   85                    0.050898                    0.053628
43                 2                  301                    0.137255                    0.159091
44                 0                  157                    0.087222                    0.095557
45                 1                 1935                    0.219687                    0.281536
46                 0                  399                    0.136085                    0.157521
47                 3                  138                    0.058105                    0.061690
48                 7                  176                    0.061005                    0.064969
49                17                  369                    0.118956                    0.135016
50                44                  434                    0.137429                    0.159325
51                 2                  254                    0.104656                    0.116889
52                 3                  196                    0.065464                    0.070050
53                 5                  180                    0.064795                    0.069284
54                 3                  776                    0.217978                    0.278736
55                 2                  747                    0.189450                    0.233730
56                14                  824                    0.216046                    0.275585
57                 6                  206                    0.064800                    0.069290
58                20                  396                    0.109513                    0.122981
59                16                  654                    0.110194                    0.123840
60                23                  748                    0.139189                    0.161695
61                15                  787                    0.125358                    0.143325
62                 3                  465                    0.065901                    0.070551
63                 0                 3567                    0.192675                    0.238659
64                48                 2502                    0.092223                    0.101592
65                 0                 3383                    0.130286                    0.149803
66                 0                 2744                    0.095487                    0.105567
67                70                 1786                    0.068676                    0.073741
68                 9                 1517                    0.076694                    0.083064
69                16                  868                    0.062762                    0.066965
70                 0                 1880                    0.151760                    0.178911
71                13                 2649                    0.197760                    0.246510
72                 2                 1119                    0.114137                    0.128843
73                36                 1659                    0.155293                    0.183843
74                 0                  646                    0.072316                    0.077953
75                 0                 2580                    0.251217                    0.335501
76                 1                  635                    0.082769                    0.090237
77                15                 1989                    0.227731                    0.294885
78                 5                 8951                    0.482690                    0.933076
79                 0                 1853                    0.170501                    0.205546
80                31                 1693                    0.158521                    0.188383
81                 4                  774                    0.093943                    0.103684
82                10                  750                    0.143843                    0.168011
83                 0                  827                    0.121707                    0.138572
84                 4                  620                    0.117158                    0.132705
85                21                 1360                    0.234321                    0.306031
86                 0                 3443                    0.483364                    0.935598
87                 3                 1984                    0.355938                    0.552646
88                11                  515                    0.138404                    0.160636
89                 1                  509                    0.158370                    0.188170
90                 1                  498                    0.180959                    0.220941
91                 1                  472                    0.201022                    0.251599
92                 0                  463                    0.204596                    0.257222
93                 5                 1461                    0.354440                    0.549042
94                17                  361                    0.139007                    0.161449
95                 4                  447                    0.197875                    0.246689
96                 1                  106                    0.061378                    0.065392
97                 2                  232                    0.092911                    0.102428
98                 4                  163                    0.105365                    0.117775
99                14                   22                    0.157143                    0.186441
100                 1                24671                    0.092676                    0.102142
